source_id,variant_label,available_count,total_possible,pct,complete_10vars_5exps,missing
GFDL-ESM4,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r1i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r1i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r1i1p5f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r2i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r2i1p5f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r3i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r3i1p5f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r4i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r4i1p5f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-G,r5i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-H,r1i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-H,r2i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-H,r3i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-H,r4i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-1-H,r5i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-2-G,r1i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-2-G,r2i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-2-G,r3i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
